Códigos_de_indicadores,Descripciones_de_los_indicadores
1n.3.1,"Porcentaje de población de 65 años o más que recibe jubilación o pensión (contributiva o no contributiva) por un monto igual o mayor al valor promedio de la línea de pobreza por ingresos"
1n.3.2,"Porcentaje de población ocupada con hijos(as) de seis años o menos que tiene acceso a guarderías como prestación laboral"
1n.3.3,"Porcentaje de la población que presenta carencia por acceso a la seguridad social"
2.1.1,"Prevalencia de la subalimentación"
2.1.2,"Proporción de la población con inseguridad alimentaria moderada o severa, desglosada por sexo y edad"
2.1.2.a,"Proporción de la población con inseguridad alimentaria moderada o severa, por desglose geográfico"
2.2.1.,"Prevalencia del retraso en el crecimiento (estatura para la edad, desviación típica < -2 de la mediana de los patrones de crecimiento infantil de la Organización Mundial de la Salud (OMS)) entre los niños menores de 5 años"
2.2.2.,"Prevalencia de la malnutrición (peso para la estatura, desviación típica > +2 o < -2 de la mediana de los patrones de crecimiento infantil de la OMS) entre los niños menores de 5 años, desglosada por tipo (emaciación y peso excesivo)"
2.3.1.,"Volumen de producción por unidad de trabajo según el tamaño de la empresa agropecuaria/pastoral/silvícola"
2.3.2.,"Ingresos medios de los productores de alimentos en pequeña escala, desglosados por sexo y condición de indígena"
2.4.1.,"Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible"
2.5.1.,"Número de recursos genéticos vegetales y animales para la alimentación y la agricultura en instalaciones de conservación a medio y largo plazo"
2.5.2.,"Proporción de razas locales clasificadas según su situación de riesgo, ausencia de riesgo o  nivel de riesgo de extinción desconocido"
2.b.1.,"Estimación de la ayuda al productor"
2.c.1.,"Indicador de anomalías en los precios de los alimentos"
2n.1.1,"Porcentaje de la población menor de 5 años que presenta algún tipo de desnutrición crónica"
2n.2.1,"Porcentaje de población con carencia por acceso a la alimentación"
2n.3.1,"Rendimiento agrícola del maíz de grano"
3.1.1,"Razón de mortalidad materna"
3.1.2,"Proporción de partos atendidos por personal sanitario capacitado"
3.2.1,"Tasa de mortalidad de niños menores de 5 años"
3.3.2,"Incidencia de tuberculosis pulmonar (por cada 100 mil habitantes)"
3.3.3,"Incidencia de paludismo (por cada 100 mil habitantes)"
3.3.5,"Proporción de tratamientos otorgados a casos confirmados de paludismo, para la prevención, control y eliminación de la transmisión del Plasmodium Vivax"
3r.3.1,"Tasa de prevalencia del VIH/SIDA entre la población de 15 a 49 años"
3r.3.2,"Mortalidad por VIH/SIDA, desglosada por sexo"
3.5.1.,"Cobertura de las intervenciones de tratamiento (farmacológico, psicosocial y servicios de rehabilitación y postratamiento) por trastornos de uso indebido de drogas"
3.5.2.,"Consumo nocivo de alcohol, definido según el contexto nacional como el consumo per cápita de alcohol (15 años y mayores) en un año civil en litros de alcohol puro"
3.6.1.,"Tasa de mortalidad por lesiones debidas a accidentes de tráfico"
3.7.1,"Porcentaje de mujeres en edad fértil (15 a 49 años) unidas con demanda satisfecha de métodos anticonceptivos modernos"
3.7.2.a,"Tasa de fecundidad en niñas y adolescentes (de 10 a 14 años) por cada 1 000 niñas y adolescentes en ese grupo de edad"
3.7.2.b,"Tasa de fecundidad en adolescentes (de 15 a 19 años) por cada 1 000 mujeres de ese grupo de edad"
3r.7.a,"Porcentaje del último hijo nacido vivo en el periodo de 2013 a 2018, tenido a la edad de 15 a 29 años, que no fue planificado"
3.8.1.,"Cobertura de servicios de salud esenciales (definida como la cobertura promedio de servicios esenciales basados en intervenciones con trazadores que incluyen la salud reproductiva, materna, neonatal e infantil, las enfermedades infecciosas, las enfermedades no transmisibles y la capacidad de los servicios y el acceso a ellos, entre la población general y los más desfavorecidos)"
3.8.2.,"Número de personas con seguro de salud o cobertura de un sistema de salud pública por cada 1.000 habitantes"
3.9.2,"Tasa de mortalidad atribuida al agua insalubre, el saneamiento deficiente y la falta de higiene (exposición a servicios insalubres de agua, saneamiento e higiene para todos (WASH))"
3.a.1.,"Prevalencia estandarizada para la edad del consumo actual de tabaco entre las personas de 15 o más años de edad"
3.b.1.,"Proporción de la población con acceso sostenible a medicamentos y vacunas esenciales a precios asequibles"
3.c.1.,"Densidad y distribución de los trabajadores sanitarios"
3.d.1.,"Capacidad del Reglamento Sanitario Internacional (RSI) y preparación para emergencias de salud"
3n.1.1,"Porcentaje de la población que presenta carencia por acceso a los servicios de salud"
3n.1.2,"Porcentaje de población que tardaría menos de dos horas en llegar a un hospital en caso de una emergencia"
3n.1.3,"Porcentaje de población derechohabiente que no gastó en servicios médicos la última vez que recibió atención médica"
3n.1.4,"Porcentaje de hogares con gasto catastrófico en salud"
3n.2.1,"Porcentaje de recursos económicos destinado a salud mental"
3n.3.1,"Tasa específica de fecundidad en niñas de 10 a 14 años"
3n.4.1,"Porcentaje de la población con sobrepeso y obesidad"
4.1.1.,"Proporción de niños, niñas y adolescentes: a) en los grados 2/3; b) al final de la enseñanza primaria; y c) al final de la enseñanza secundaria inferior, que han alcanzado al menos un nivel mínimo de competencia en i) lectura y ii) matemáticas, desglosada por sexo"
4.1.3,"Tasa neta de escolarización en secundaria (12 a 14 años de edad)"
4.1.4,"Eficiencia terminal en la enseñanza primaria"
4.1.5,"Eficiencia terminal en secundaria"
4.2.1.,"Proporción de niños menores de 5 años cuyo desarrollo se encuentra bien encauzado en cuanto a la salud, el aprendizaje y el bienestar psicosocial, desglosado por sexo"
4.2.2,"Tasa de participación en el aprendizaje organizado (un año antes de la edad oficial de ingreso en la enseñanza primaria), desglosada por sexo"
4.3.1,"Tasa de participación de los jóvenes y adultos en la enseñanza y formación académica y no académica en los últimos 12 meses, desglosada por sexo"
4r.3.1,"Tasa bruta de matrícula de educación superior, desglosada por sexo"
4.4.1,"Proporción de jóvenes y adultos con conocimientos de tecnología de la información y las comunicaciones (TIC), desglosada por tipo de conocimiento técnico"
4.5.1.,"Índices de paridad (mujeres/hombres, zonas rurales y urbanas, quintil superior/inferior de recursos económicos, y otras características, como la situación en materia de discapacidad, los pueblos indígenas y los efectos de conflictos, a medida que se disponga de datos) para todos los indicadores de esta lista que puedan desglosarse"
4.6.1.a,"Porcentaje de población en un grupo de edad determinado que alcanza por lo menos un nivel fijo de competencia funcional en alfabetización, desglosado por sexo"
4r.6.1,"Tasa de alfabetización de las personas de 15 a 24 años y de 15 años o más, desglosada por sexo"
4.7.1.,"Grado en que i) la educación cívica mundial y ii) la educación para el desarrollo sostenible, incluida la igualdad entre los géneros y los derechos humanos, se incorporan en todos los niveles en: a) las políticas nacionales de educación, b) los planes de estudio, c) la formación del profesorado y d) la evaluación de los estudiantes"
4.a.1.a,"Proporción de escuelas con acceso a electricidad por entidad federativa y nivel educativo"
4.a.1.b,"Proporción de escuelas con acceso a internet por entidad federativa y nivel educativo"
4.a.1.c,"Proporción de escuelas con equipos de cómputo en funcionamiento por entidad federativa y nivel educativo"
4.a.1.d1,"Proporción de escuelas con infraestructura adaptada para discapacidad por entidad federativa y nivel educativo"
4.a.1.d2,"Proporción de escuelas con materiales adaptados para discapacidad por entidad federativa y nivel educativo"
4.a.1.e,"Proporción de escuelas con conexión a la red pública de agua potable por entidad federativa y nivel educativo"
4.a.1.f,"Proporción de escuelas con sanitarios independientes por entidad federativa y nivel educativo"
4.a.1.g,"Proporción de escuelas con lavabo de manos por entidad federativa y nivel educativo"
4.c.1.a,"Proporción del profesorado de educación preescolar, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel preescolar en México"
4.c.1.b,"Proporción del profesorado de educación primaria, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel primaria en México"
4.c.1.c,"Proporción del profesorado de educación secundaria, que ha recibido al menos la mínima formación docente organizada previa al empleo o en el empleo (por ejemplo, formación pedagógica) exigida para impartir enseñanza a nivel secundaria en México"
4n.1.1,"Porcentaje de alumnos que asisten a escuelas de organización escolar multigrado"
4n.2.1,"Prevalencia de la violencia en el ámbito escolar, entre las mujeres de 15 años y más en los últimos 12 meses"
5.2.1.a,"Proporción de mujeres de 15 años de edad o más, que han sufrido violencia física, sexual o psicológica infligida por un compañero íntimo actual o anterior, en los 12 meses anteriores, por entidad federativa según tipo de violencia"
5.2.1.b,"Proporción de mujeres de 15 años de edad o más, que han sufrido violencia física, sexual o psicológica infligida por un compañero íntimo actual o anterior, en los 12 meses anteriores, por grupos de edad según tipo de violencia"
5.2.2.a,"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos 12 meses, por entidad federativa y lugar del hecho"
5.2.2.b,"Proporción de mujeres y niñas a partir de 15 años de edad que han sufrido violencia sexual a manos de personas que no eran su pareja en los últimos 12 meses, desglosada por edad y lugar del hecho"
5.3.1,"Proporción de mujeres de entre 20 y 24 años que estaban casadas o mantenían una unión estable antes de cumplir los 15 años y antes de cumplir los 18 años"
5.4.1.,"Proporción de tiempo dedicado al trabajo doméstico y asistencial no remunerado, desglosada por sexo, edad y ubicación"
5.5.1.a,"Proporción de escaños ocupados por mujeres en la Cámara de Diputados"
5.5.1.b,"Proporción de mujeres en las gubernaturas de las entidades federativas"
5.5.1.c,"Proporción de presidentas municipales"
5.5.2,"Proporción de mujeres en cargos directivos"
5.6.1.,"Proporción de mujeres de 15 a 49 años de edad que toman sus propias decisiones informadas con respecto a las relaciones sexuales, el uso de anticonceptivos y la atención de la salud reproductiva"
5.a.1.,"a) Proporción del total de la población agrícola con derechos de propiedad o derechos seguros sobre las tierras agrícolas, desglosada por sexo; y b) proporción de mujeres entre los propietarios de tierras agrícolas, o titulares de derechos sobre tierras agrícolas, desglosada por tipo de tenencia"
5.b.1,"Proporción de personas que utilizan teléfonos móviles, desglosada por sexo"
5n.1.1,"Razón del ingreso laboral de trabajadoras/trabajadores por nivel de escolaridad"
5n.1.2,"Brecha en el tiempo promedio que hombres y mujeres destinan a quehaceres domésticos, por grupos de edad"
5n.1.3,"Brecha en el tiempo promedio que niñas y niños destinan a quehaceres domésticos y al cuidado a integrantes del hogar"
5n.1.4,"Ingreso laboral real promedio de las personas ocupadas según sexo"
5n.2.1,"Porcentaje de certificados y títulos expedidos a mujeres como sujetos agrarios con respecto a los hombres"
5n.3.1,"Proporción de mujeres y niñas a partir de 15 años de edad que han experimentado violencia física o sexual  por otro agresor distinto a la pareja y pidieron apoyo a alguna institución o presentaron una queja o denuncia ante alguna autoridad"
6.1.1.,"Proporción de la población que dispone de servicios de suministro de agua potable gestionados de manera segura"
6.2.1.,"Proporción de la población que utiliza servicios de saneamiento gestionados de manera segura,  incluida una instalación para lavarse las manos con agua y jabón"
6.3.1,"Proporción de aguas residuales tratadas de manera adecuada"
6.3.2.,"Proporción de cuerpos de agua de buena calidad"
6.4.1.,"Cambio en la eficiencia del uso del agua a lo largo del tiempo"
6.4.2,"Nivel de estrés hídrico: extracción de agua dulce como proporción de los recursos disponibles de agua dulce."
6.5.1.,"Grado de implementación de la gestión integrada de los recursos hídricos"
6.5.2.,"Proporción de la superficie de cuencas transfronterizas sujetas a arreglos operacionales para la cooperación en materia de aguas"
6.6.1.,"Cambio en la extensión de los ecosistemas relacionados con el agua a lo largo del tiempo"
6.b.1.,"Proporción de dependencias administrativas locales con políticas y procedimientos operacionales establecidos para la participación de las comunidades locales en la ordenación del agua y el saneamiento"
6n.1.1,"Porcentaje de la población que tiene acceso al agua entubada diariamente así como al saneamiento"
6n.2.1,"Grado de presión sobre el recurso hídrico de las zonas centro y norte del país"
6n.2.2,"Rendimiento de cultivos básicos en zonas con infraestructura de riego"
7.1.1,"Proporción de la población con acceso a la electricidad"
7.1.1.a,"Proporción de la población con acceso a la electricidad"
7.1.1.b,"Proporción de la población con acceso a la electricidad"
7.1.2.,"Proporción de la población cuya fuente primaria de energía consiste en combustibles y tecnología limpios"
7.2.1,"Proporción de la energía renovable en el consumo final total de energía"
7.3.1,"Intensidad energética medida en función de la energía primaria y el PIB"
7.b.1.,"Inversiones en eficiencia energética como porcentaje del PIB y del monto de la inversión extranjera directa en transferencias financieras destinadas a infraestructuras y tecnología con el fin de prestar servicios para el desarrollo sostenible"
7n.1.1,"Porcentaje de participación de las energías limpias en la matriz de generación de energía eléctrica"
7n.2.1,"Intensidad energética nacional"
7n.3.1,"Capacidad total instalada por generación distribuida"
8.1.1,"Tasa de crecimiento anual del PIB real per cápita"
8.2.1,"Tasa de crecimiento del PIB por persona ocupada"
8.3.1,"Proporción del empleo informal en el empleo no agropecuario, desglosada por sexo"
8.4.1.,"Huella material en términos absolutos, huella material per cápita y huella material por PIB"
8.4.2.a.,"Consumo material interior en términos absolutos"
8.4.2.b.,"Consumo material interior per cápita"
8.4.2.c.,"Consumo material interior por PIB"
8.5.1.,"Ingreso medio por hora de mujeres y hombres empleados, desglosado por ocupación, edad y personas con discapacidad"
8.5.2,"Tasa de desocupación, desglosada por sexo y edad"
8.6.1.,"Proporción de jóvenes (de 15 a 24 años) que no estudian, no tienen empleo ni reciben capacitación"
8.7.1,"Proporción de la población de 5 a 17 años que realiza una ocupación infantil no permitida, desglosada por sexo y edad"
8.8.1,"Tasa de incidencia de lesiones ocupacionales mortales y no mortales, desglosada por sexo"
8.9.1,"PIB directo turístico como proporción del PIB total y en tasas de crecimiento"
8.10.1.a,"Número de sucursales de bancos comerciales por cada 100 000 adultos"
8.10.1.b,"Número de cajeros automáticos por cada 100 000 adultos"
8.10.2,"Proporción de adultos (de 15 años o más) con una cuenta en un banco u otra institución financiera o con un proveedor móvil de servicios monetarios"
8n.1.1,"Tasa de participación laboral de personas con discapacidad"
8n.2.1,"Existencia de un Sistema Nacional de Cuidados"
8n.2.2,"Número de Personas Trabajadoras del Hogar afiliadas ante el Instituto Mexicano del Seguro Social"
8n.3.1,"Porcentaje de la población entre 18 y 70 años que tiene una cuenta en un banco u otra institución financiera"
8n.4.1,"Variación anual del índice global de productividad laboral de la economía"
9.1.1,"Proporción de la población rural que vive a menos de 2 km de una carretera transitable todo el año"
9.1.2.,"Volumen de transporte de pasajeros y carga, por medio de transporte"
9.1.2.a.,"Volumen de transporte de pasajeros, desglosado por medio de transporte"
9.1.2.b.,"Volumen de transporte de carga, desglosado por medio de transporte"
9.2.1.a,"Valor agregado por manufactura como proporción del PIB"
9.2.1.b,"Valor agregado por manufactura per cápita"
9.2.2,"Ocupación en la manufactura como proporción del empleo total, desglosada por sexo"
9.3.1.,"Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector"
9.3.2.,"Proporción de las industrias a pequeña escala que han obtenido un préstamo o una línea de crédito"
9.4.1,"Emisiones de dióxido de carbono total por PIB por paridad de poder de compra"
9.5.1,"Gastos en investigación y desarrollo como proporción del PIB"
9.5.2,"Investigadores (valor equivalente a tiempo completo) por millón de habitantes"
9.b.1.,"Proporción del valor agregado por la industria de tecnología mediana y alta del valor agregado total"
9.c.1.,"Proporción de la población abarcada por una red móvil, desglosada por tecnología"
9n.1.1.,"Vulnerabilidad de los asentamientos humanos por inundaciones"
9n.2.1,"Porcentaje de empresas que llevaron a cabo actividades de Investigación y Desarrollo Tecnológico"
9n.3.1,"Porcentaje del Personal Ocupado generado por las MIPyMEs (comprende asalariados, no asalariados y empleos suministrados por otra razón social)"
9n.4.1,"Porcentaje de las pequeñas y medianas empresas que participan en cadenas globales de valor"
10.1.1.,"Tasas de crecimiento de los gastos o ingresos de los hogares per cápita entre el 40% más pobre de la población y la población total"
10.2.1.,"Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, desglosada por edad, sexo y personas con discapacidad"
10.3.1.,"Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos"
10.4.1,"Proporción laboral del PIB que comprende los salarios y las transferencias de protección social"
10r.4.1a,"Índice de Gini con transferencias"
10r.4.1b,"Índice de Gini sin transferencias"
10.5.1.,"Indicadores de solidez financiera"
10.7.1.,"Costo de la contratación por cuenta del empleado como proporción de los ingresos anuales percibidos en el país de destino"
10n.1.1,"Crecimiento del ingreso corriente de los hogares por deciles"
10n.2.1,"Porcentaje que representa el ingreso de los dos deciles más bajos sobre los dos deciles más altos"
10n.3.1,"Porcentaje de la población de 18 años y más, bisexual, gay o lesbiana u otra orientación  que declaró la negación de sus derechos en los últimos cinco años"
10n.4.1,"Porcentaje de solicitudes de refugio o protección complementaria a México con resolución en tiempo (45 o 90 días) anuales"
11.1.1,"Proporción de la población urbana que habita en viviendas precarias"
11.2.1.,"Proporción de la población que tiene acceso conveniente al transporte público, desglosada por sexo, edad y personas con discapacidad"
11.3.1.,"Cociente entre la tasa de consumo de tierras y la tasa de crecimiento de la población"
11.3.2.,"Proporción de ciudades con una estructura de participación directa de la sociedad civil en la planificación y la gestión urbanas que opera regular y democráticamente"
11.4.1,"Total de gasto público per cápita en la protección ambiental"
11.5.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes"
11.6.1.a,"Porcentaje de residuos sólidos urbanos recolectados con disposición final adecuada"
11.6.2.,"Niveles medios anuales de partículas finas (por ejemplo, PM2.5 y PM10) en las ciudades (ponderados según la población)"
11.7.1.,"Proporción media de la superficie edificada de las ciudades correspondiente a espacios abiertos para el uso público de todos, desglosada por sexo, edad y personas con discapacidad"
11.7.2.,"Proporción de personas víctimas de violencia física o acoso sexual, desglosada por sexo, edad, grado de discapacidad y lugar del hecho, en los doce meses anteriores"
11.a.1.,"Proporción de población residente en ciudades que aplican planes de desarrollo urbano y regional que integran las proyecciones demográficas y las necesidades de recursos, desglosada por tamaño de ciudad"
11n.1.1,"Porcentaje de viviendas en rezago habitacional"
11n.2.1,"Superficie de áreas verdes urbanas per cápita"
12.4.2.,"Desechos peligrosos generados per cápita y proporción de desechos peligrosos tratados, desglosados por tipo de tratamiento"
12.5.1.a,"Porcentaje de residuos sólidos urbanos recolectados reciclables"
12.6.1.,"Número de empresas que publican informes sobre sostenibilidad"
12.8.1.,"Grado en que i) la educación cívica mundial y ii) la educación para el desarrollo sostenible (incluida la educación sobre el cambio climático) se incorporan en: a) las políticas nacionales de educación; b) los planes de estudio; c) la formación del profesorado y d) la evaluación de los estudiantes"
12.b.1.,"Número de estrategias o políticas de turismo sostenible y de planes de acción implantados que incluyen instrumentos de seguimiento y evaluación acordados"
12.c.1.,"Cuantía de los subsidios a los combustibles fósiles por unidad de PIB (producción y consumo) y como proporción del total de los gastos nacionales en combustibles fósiles"
12n.1.1,"Porcentaje de municipios con disposición adecuada de residuos sólidos urbanos"
12n.2.1,"Uso de fertilizante fosfatados (Kg/Ha)"
13.1.1,"Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes"
13n.1.1,"Severidad acumulada de excedencias de ozono y PM2.5 en un conjunto de estaciones de monitoreo centinela"
13n.1.2,"Fortalecimiento de capacidades adaptativas de los municipios para responder al cambio climático"
13n.2.1,"Intensidad de carbono por la quema de combustibles fósiles"
14.1.1.,"Índice de eutrofización costera y densidad de desechos plásticos flotantes"
14.2.1.,"Proporción de zonas económicas exclusivas nacionales gestionadas mediante enfoques basados en los ecosistemas"
14.4.1.,"Proporción de poblaciones de peces que están dentro de niveles biológicamente sostenibles"
14.5.1,"Cobertura de las zonas protegidas en relación con las zonas marinas"
14.a.1,"Proporción del Presupuesto Federal para Investigación Científica y Desarrollo Experimental asignado a la Secretaría de Marina"
14n.1.1,"Refugios pesqueros en aguas nacionales"
15.1.1,"Superficie forestal como proporción de la superficie total"
15.1.2,"Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema"
15.3.1.,"Proporción de tierras degradadas en comparación con la superficie total"
15.4.1.,"Cobertura por zonas protegidas de lugares importantes para la diversidad biológica de las montañas"
15.4.2.,"Índice de cobertura verde de las montañas"
15.5.1,"Proporción de especies en peligro de extinción"
15.7.1.,"Proporción de vida silvestre comercializada que ha sido objeto de caza furtiva o de tráfico ilícito"
15n.1.1,"Porcentaje de Áreas Naturales Protegidas (ANP) terrestres que incrementan o mantienen su superficie con cobertura vegetal, o que presentan pérdidas menores al 5%"
15n.2.1,"Tasa anual de deforestación bruta a nivel nacional"
16.1.1,"Número de defunciones por homicidio por cada 100 000 habitantes, desglosado por sexo y edad"
16.1.2.,"Muertes causadas por conflictos por cada 100 000 habitantes, desglosadas por sexo, edad y causa"
16.1.3.,"Proporción de la población sometida a violencia física, psicológica o sexual en los 12 meses anteriores"
16.1.3.a,"Proporción de la población que ha sufrido violencia física en los últimos 12 meses"
16.1.3.b,"Proporción de la población que ha sufrido violencia psicológica en los últimos 12 meses"
16.1.3.c,"Proporción de la población que ha sufrido violencia sexual en los últimos 12 meses"
16.1.4.,"Proporción de la población que se siente segura al caminar sola por la noche en su zona de residencia"
16.2.1.,"Proporción de niños de 1 a 17 años que sufrieron algún castigo físico o agresión psicológica por los cuidadores en el mes anterior"
16.2.2.,"Número de víctimas de la trata de personas por cada 100.000 habitantes, desglosado por sexo, edad y tipo de explotación"
16.2.3.,"Proporción de mujeres y hombres jóvenes de 18 a 29 años de edad que habían sufrido violencia sexual antes de cumplir los 18 años"
16.3.1,"Proporción de víctimas de violencia en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.a,"Proporción de víctimas de violencia física en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.b,"Proporción de víctimas de violencia psicológica en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.1.c,"Proporción de mujeres víctimas de violencia sexual en los últimos 12 meses que han notificado su victimización a las autoridades competentes u otros mecanismos de resolución de conflictos reconocidos oficialmente"
16.3.2,"Proporción de detenidos que no han sido condenados en el conjunto de la población reclusa total"
16.4.1.,"Valor total de los flujos financieros ilícitos de entrada y salida (en dólares corrientes de los Estados Unidos)"
16.4.2.,"Proporción de armas pequeñas y armas ligeras incautadas que se registran y localizan, de conformidad con las normas internacionales y los instrumentos jurídicos"
16.5.1.,"Proporción de personas que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a las que un funcionario público les ha pedido un soborno, durante los últimos 12 meses"
16.5.2,"Proporción de negocios que han tenido al menos un contacto con un funcionario público y que han pagado un soborno a un funcionario público, o a los que un funcionario público les ha pedido un  soborno, durante los últimos 12 meses"
16.6.1,"Gastos primarios del gobierno como proporción del presupuesto aprobado original, desglosados por sector (o por códigos presupuestarios o elementos similares)"
16.6.2.,"Proporción de la población que se siente satisfecha con su última experiencia de los servicios públicos"
16.6.2.a,"Satisfacción con el servicio de educación pública obligatoria"
16.6.2.b,"Satisfacción con el servicio de educación pública universitaria"
16.7.1.,"Proporciones de posiciones (por sexo, edad, personas con discapacidad y grupos de población) en las instituciones públicas (asambleas legislativas nacionales y locales, administración pública y poder judicial), en comparación con las distribuciones nacionales"
16.7.2.,"Proporción de la población que considera que la adopción de decisiones es inclusiva y participativa"
16.9.1.,"Proporción de niños menores de 5 años cuyo nacimiento se ha registrado ante una autoridad civil, desglosada por edad"
16.b.1.,"Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos."
16n.1.1,"Prevalencia delictiva en personas de 18 años y más"
16n.1.2,"Prevalencia delictiva en unidades económicas"
16n.2.1,"Porcentaje de personas de 18 años y más que identifica a la policía estatal y manifiesta que le genera confianza"
16n.2.2,"Porcentaje de personas de 18 años y más que identifica a los Ministerios Públicos y Procuradurías y manifiesta que les generan confianza"
16n.2.3,"Porcentaje de delitos ocurridos y denunciados donde el trato recibido al momento de la denuncia, por parte del Ministerio Público, fue calificado como bueno o excelente"
16n.2.4,"Porcentaje de la población de 18 años y más que tiene mucha o algo de confianza en jueces"
16n.3.1.a,"Porcentaje de la población de 18 años y más satisfecha con el servicio de calles y avenidas"
16n.3.1.b,"Porcentaje de la población de 18 años y más satisfecha con el servicio de parques y jardines públicos"
16n.3.1.c,"Porcentaje de la población de 18 años y más satisfecha con el servicio de agua potable"
16n.3.1.d,"Porcentaje de la población de 18 años y más satisfecha con el servicio de drenaje y alcantarillado"
16n.3.1.e,"Porcentaje de la población de 18 años y más satisfecha con el servicio de alumbrado público"
16n.3.1.f,"Porcentaje de la población de 18 años y más satisfecha con el servicio de recolección de basura"
16n.3.2,"Confianza en el Gobierno Federal"
17.1.1,"Total de los ingresos del gobierno como proporción del PIB, desglosado por fuente"
17.1.2,"Proporción del presupuesto nacional financiado por impuestos internos"
17.3.2,"Volumen de las remesas (en dólares de los Estados Unidos) como proporción del PIB total"
17.4.1,"Servicio de la deuda como proporción de las exportaciones de bienes y servicios"
17.6.1,"Accesos del servicio fijo de Internet por cada 100 habitantes, desglosados por velocidad"
17.8.1,"Proporción de personas que usan internet, por entidad federativa"
17.8.1.a,"Proporción de personas que usan Internet, dentro y fuera del hogar"
17.13.1.,"Tablero Macroeconómico"
17n.1.1,"Autonomía fiscal de gobiernos subnacionales (ingresos propios como proporción de los ingresos totales de estados)"
17n.2.1,"Porcentaje de indicadores globales y regionales para los que se encuentra información pública en la plataforma de indicadores"
17n.3.1,"Porcentaje de planes estatales de desarrollo con visión de sostenibilidad"
17n.4.1,"Crecimiento de los puestos de trabajo ocupados totales del sector de la cultura"
17n.4.2,"Crecimiento real del valor agregado bruto del sector de la cultura"
